customer_id,first_name,last_name,email,phone_number,status,registration_date,total_purchases,last_purchase_date
1,Camel,Shill,cshill0@diigo.com,8569262212,active,8/2/2014,9082.02,11/6/2011
2,Nigel,Clevely,nclevely1@answers.com,,inactive,12/30/2020,3920.45,6/29/2015
3,Dasha,MacArdle,dmacardle2@gravatar.com,7143166215,inactive,6/25/2021,7667.2,4/20/2021
4,Chloris,Elia,celia3@sohu.com,1684963882,inactive,9/27/2010,8403.94,7/12/2021
5,Natala,Hanscome,nhanscome4@cargocollective.com,8178920095,inactive,1/5/2022,7193.66,9/11/2020
6,Adrienne,Bruty,abruty5@drupal.org,,active,4/18/2011,3528.08,9/3/2014
7,Otto,Belsher,obelsher6@blinklist.com,5774300028,inactive,1/17/2014,7028.83,4/9/2014
8,Rhea,Kingzeth,rkingzeth7@pen.io,3621860123,inactive,7/29/2016,7452.24,3/17/2018
9,Donella,Strick,dstrick8@ning.com,2092380180,active,8/1/2010,9996.62,6/19/2021
10,Mahmud,Lowten,mlowten9@mapy.cz,6385601296,active,4/27/2020,2187.16,12/9/2012
11,Cristine,Bradick,cbradicka@themeforest.net,2507240426,active,2/19/2017,1860.04,11/28/2012
12,Wilmette,Navaro,wnavarob@nature.com,7851072823,active,2/25/2012,3737.79,10/27/2015
13,Skipper,Twitty,stwittyc@cdbaby.com,7056350396,active,6/23/2013,7818.6,4/9/2011
14,Jarred,McGougan,jmcgougand@sourceforge.net,5242176989,active,3/12/2013,9839.78,2/9/2016
15,Anett,Carne,acarnee@china.com.cn,5083145237,inactive,10/13/2021,3655.63,9/26/2012
16,Zelig,Sahnow,zsahnowf@slashdot.org,1724160857,active,5/31/2011,9101.06,8/5/2013
17,Benedicto,Slorance,bsloranceg@smugmug.com,7739985979,inactive,5/3/2021,5645.75,2/12/2011
18,Veronika,Howsan,vhowsanh@phoca.cz,1934993551,active,4/9/2012,4701.74,2/20/2020
19,Sarge,Oman,somani@hc360.com,7635340507,active,3/10/2018,598.82,1/27/2014
20,Donovan,Walkinshaw,dwalkinshawj@discuz.net,6689359190,inactive,9/13/2022,2021.15,10/17/2016
21,Joelie,Stothart,jstothartk@flickr.com,5654406167,inactive,2/6/2011,4470.97,4/17/2017
22,Dennie,Bumfrey,dbumfreyl@nps.gov,8402233546,active,1/20/2015,8876.65,8/23/2014
23,Elana,Yegorchenkov,eyegorchenkovm@webs.com,1219967704,inactive,2/28/2013,7951.24,4/5/2013
24,Gris,Laye,glayen@ox.ac.uk,8882895053,inactive,6/21/2015,7984.23,1/7/2022
25,Randa,Knewstubb,rknewstubbo@g.co,1696119404,inactive,3/20/2018,2716.41,7/2/2012
26,Hanson,Raitie,hraitiep@skyrock.com,8839311380,active,10/14/2016,7266.85,8/26/2017
27,Vincents,Atton,vattonq@ucsd.edu,3487423262,active,4/12/2012,7774.22,7/29/2016
28,Constantine,Van Der Weedenburg,cvanderweedenburgr@usgs.gov,3654432886,active,3/23/2022,3372.55,12/7/2012
29,Edita,Haycox,ehaycoxs@zimbio.com,5944922154,,6/19/2013,9644.23,5/10/2020
30,Damara,Seefus,dseefust@nytimes.com,1796572000,inactive,12/5/2019,8624.11,4/13/2015
31,Rinaldo,Bolzen,rbolzenu@wikipedia.org,2529283242,active,6/15/2014,7112.11,10/30/2022
32,Giovanni,Van Ross,gvanrossv@123-reg.co.uk,9723216910,,10/4/2010,1151.29,5/7/2015
33,Sylvester,Matteotti,smatteottiw@tumblr.com,5227288129,inactive,12/2/2021,5149.48,10/16/2011
34,Mariana,Kisby,mkisbyx@ebay.co.uk,1297068508,inactive,7/4/2020,6352.94,1/16/2016
35,Skell,Rexworthy,srexworthyy@google.co.uk,9788143498,active,10/28/2010,7444.88,10/24/2021
36,Freddy,Oxburgh,foxburghz@weebly.com,7401665318,active,11/21/2010,6390.98,3/31/2013
37,Boonie,O'Farris,bofarris10@fema.gov,,active,7/23/2016,1857.75,10/19/2010
38,Keefe,Gianulli,kgianulli11@scribd.com,1493874160,inactive,10/31/2020,9110.68,5/7/2012
39,Alfy,Topham,atopham12@over-blog.com,5432713828,active,6/23/2021,4375.74,10/7/2012
40,Remus,Blogg,,8292149910,inactive,11/7/2012,119.33,3/16/2020
41,Timothee,Astridge,tastridge14@apple.com,3938029844,inactive,10/16/2017,3492.0,3/23/2018
42,Ric,Piotr,rpiotr15@istockphoto.com,5705440809,active,11/4/2021,7735.48,4/23/2016
43,Skipper,Uppett,suppett16@networkadvertising.org,2511073590,active,6/7/2010,2862.73,2/21/2018
44,Rourke,Lindenberg,rlindenberg17@cnn.com,3368132399,active,8/29/2019,8826.88,4/8/2014
45,Abey,Hattiff,,6613018594,active,6/30/2011,6469.61,8/28/2014
46,Nancey,Kobpa,nkobpa19@alibaba.com,3616445475,inactive,12/31/2010,9558.14,9/30/2010
47,Othello,Feenan,ofeenan1a@reuters.com,2147826086,active,10/13/2011,6378.21,5/23/2015
48,Lily,Kocher,lkocher1b@purevolume.com,6041119382,inactive,2/14/2018,8239.28,6/3/2014
49,Kattie,Cleiment,kcleiment1c@msn.com,9252078712,active,6/27/2013,8206.3,10/29/2012
50,Lewie,Paolicchi,lpaolicchi1d@slate.com,,inactive,8/3/2010,5499.49,12/17/2012
51,Dillie,Robbeke,drobbeke1e@loc.gov,4838868054,,12/26/2016,6926.84,11/16/2012
52,Clayton,Penvarne,cpenvarne1f@wired.com,8736979363,inactive,10/5/2010,9757.37,8/6/2016
53,Kaleena,Haseley,khaseley1g@technorati.com,4695877935,active,12/1/2012,2370.93,4/15/2016
54,Templeton,Boyfield,tboyfield1h@senate.gov,1789927263,inactive,2/24/2019,5589.88,6/25/2022
55,Andre,Pigeon,,3596609754,active,4/19/2018,4285.81,2/18/2018
56,Connie,Leipold,cleipold1j@nytimes.com,5292363529,active,10/29/2016,156.94,9/30/2012
57,Ellette,Gobel,egobel1k@furl.net,5452984290,active,6/21/2022,1488.02,4/18/2019
58,Burty,Coton,bcoton1l@bbc.co.uk,7788171161,active,1/3/2014,4740.23,9/9/2015
59,Tori,Dyde,tdyde1m@symantec.com,8069564628,inactive,1/25/2017,7107.4,10/22/2018
60,Jessey,Barnhill,jbarnhill1n@photobucket.com,5263000452,active,8/3/2017,4959.18,1/25/2012
61,Adam,Buttner,abuttner1o@dell.com,1986638011,inactive,1/28/2016,3247.1,12/7/2015
62,Normand,Stanlike,nstanlike1p@google.com.br,1931823728,active,3/1/2012,2798.13,6/2/2022
63,Elbertine,Kite,ekite1q@craigslist.org,1171277347,active,7/3/2012,3451.93,2/19/2017
64,Elbertina,Bartrop,ebartrop1r@yandex.ru,8587672180,inactive,12/15/2013,9426.61,8/1/2014
65,Ariella,Gregori,agregori1s@woothemes.com,5823035990,inactive,4/5/2013,6899.35,3/23/2020
66,Hilliard,Jauncey,hjauncey1t@g.co,8611320486,inactive,7/19/2022,8583.63,12/12/2014
67,Maxy,Beddoe,mbeddoe1u@hugedomains.com,2401649975,active,4/9/2020,1839.13,9/5/2020
68,Ingamar,Paddeley,ipaddeley1v@statcounter.com,1353967668,active,11/16/2015,3282.34,12/11/2011
69,Dulsea,Shermore,dshermore1w@slate.com,5191565927,inactive,12/8/2010,7047.39,2/9/2013
70,Bearnard,Cluatt,bcluatt1x@bandcamp.com,1603974106,active,11/10/2010,3831.32,8/28/2021
71,Suzanne,Rose,srose1y@wired.com,4725165237,active,4/23/2011,4277.91,5/28/2016
72,Nessie,Salzburg,nsalzburg1z@cisco.com,8511171412,active,8/10/2017,1968.2,1/24/2015
73,Hercules,Tadgell,htadgell20@hhs.gov,3334042428,inactive,6/24/2013,5702.0,9/5/2011
74,Claudian,Dawes,cdawes21@usnews.com,8093407290,active,3/8/2014,3938.7,12/13/2014
75,Deonne,Sebborn,dsebborn22@chicagotribune.com,9563622311,active,3/26/2016,2087.51,11/1/2019
76,Conni,Attawell,cattawell23@godaddy.com,6864693667,,5/21/2016,6119.12,12/17/2022
77,Maryann,MacConnal,mmacconnal24@dmoz.org,7301779287,inactive,5/26/2020,9325.8,11/19/2022
78,Costanza,Shreeve,cshreeve25@spiegel.de,5716811164,active,5/2/2010,5412.78,4/20/2019
79,Waverly,Budget,wbudget26@paginegialle.it,6011701437,inactive,1/1/2022,9368.42,5/23/2011
80,Rickard,Dalli,rdalli27@imgur.com,2776760781,active,12/1/2017,6344.83,11/4/2013
81,Evelyn,Lambillion,elambillion28@bbc.co.uk,6019336815,inactive,1/19/2015,1711.12,11/20/2018
82,Jameson,Doale,jdoale29@flavors.me,9056795311,active,6/12/2010,1792.44,6/14/2019
83,Brad,Shrive,bshrive2a@irs.gov,7965500936,inactive,7/9/2013,8303.0,1/4/2018
84,Jaimie,Lude,jlude2b@blinklist.com,5875952198,inactive,9/11/2014,7425.94,5/5/2014
85,Carny,Webland,,7176021824,,10/10/2013,1021.44,8/9/2013
86,Kermie,Melledy,kmelledy2d@ifeng.com,2997379717,inactive,2/10/2014,4932.07,4/24/2022
87,Hesther,Saterthwait,hsaterthwait2e@google.nl,6433120248,inactive,6/11/2021,3859.62,3/2/2019
88,Mallory,Rossbrooke,mrossbrooke2f@digg.com,9442625627,inactive,2/28/2016,7497.43,9/9/2010
89,Alvy,Flageul,aflageul2g@wufoo.com,8595457770,inactive,3/13/2012,1325.15,2/25/2022
